gamma,u0,v0,u1,v1,phi1,phi2
-0.95,48.53208478977485,48.53208478977485,91.35964806774534,91.35964806774534,-8.009840775714991e-08,-8.009840775714991e-08
-0.9049999999999999,57.10281276378274,57.10281284707823,103.8655546386184,103.8655547901259,-2.515079454118052e-13,3.501085889690554e-13
-0.86,64.08880619935752,64.08880629163743,112.2410586273575,112.2410587889711,-1.046454786258836e-07,-1.046453910870185e-07
-0.8149999999999999,71.13832230263711,71.13832240363679,119.978533592414,119.9785337627554,-2.183281353155307e-08,-2.183281381577016e-08
-0.77,78.70031354372334,78.70031365733021,127.9381200519486,127.9381202366319,-6.919866847321289e-09,-6.919922980197417e-09
-0.725,87.03077195941583,87.03077209033843,136.5192708886136,136.5192710939824,-2.626525296827811e-09,-2.626359029827639e-09
-0.6799999999999999,96.35729115687131,96.35729130147917,146.0125824005879,146.0125826197149,-1.083720934430971e-09,-1.083398063811828e-09
-0.635,106.932506568587,106.9325067194923,156.7026237553524,156.7026239764951,-4.609809130207032e-10,-4.613582112133938e-10
-0.59,119.0669516093297,119.066951765248,168.917790888575,168.9177911097732,-1.941695940719858e-10,-1.942233111028023e-10
-0.5449999999999999,133.1632126051576,133.1632127849332,183.0714079369107,183.0714081840637,-7.799790527883935e-11,-7.794333559671542e-11
-0.4999999999999999,149.7624926519554,149.7624928853558,199.7114972015683,199.7114975128123,-2.815482783040659e-11,-2.829693637754134e-11
