method,N,h,unknowns,iterations,parameter_count,residual_inf,scaled_residual_inf,error_bound_l2,lambda_min,lambda_max,converged
chebyshev,8,0.125,49,45,8,7.918250351697983e-07,7.423359704716859e-08,1.175645106747846e-07,1.803713917446317,31.3678589578075,1
adi,8,0.125,49,17,7,5.758318598244235e-07,5.39842368585397e-08,8.424251344490197e-08,1.803713917446317,31.3678589578075,1
chebyshev,16,0.0625,225,93,16,9.981774269363086e-07,2.339478344381973e-08,2.659708975705497e-07,0.4596764485257397,31.84480542142911,1
adi,16,0.0625,225,22,8,5.225832353517035e-07,1.224804457855555e-08,1.725040788496006e-07,0.4596764485257397,31.84480542142911,1
chebyshev,32,0.03125,961,208,32,7.204730915570204e-07,4.221522020841917e-09,3.149527769780747e-07,0.1154738124383879,31.96138506594869,1
adi,32,0.03125,961,35,9,2.550468707340769e-07,1.494415258207482e-09,1.017706166678733e-07,0.1154738124383879,31.96138506594869,1
chebyshev,64,0.015625,3969,421,64,6.65681151682899e-07,9.751188745354966e-10,5.317418288105946e-07,0.02890324737284765,31.99035784593837,1
adi,64,0.015625,3969,49,10,5.755955498898402e-07,8.431575437839456e-10,3.04108552492185e-07,0.02890324737284765,31.99035784593837,1
chebyshev,128,0.0078125,16129,938,128,9.081686584977433e-07,3.325812958365759e-10,1.259028028112387e-06,0.007227988450386976,31.99759018672892,1
adi,128,0.0078125,16129,65,11,6.294915995871028e-07,2.305267088331675e-10,4.637616952853911e-07,0.007227988450386976,31.99759018672892,1
chebyshev,256,0.00390625,65025,1865,256,8.432907634414732e-07,7.720557526624816e-11,2.347860324637269e-06,0.001807133181279815,31.9993975920339,1
adi,256,0.00390625,65025,73,12,7.263345954318842e-07,6.649791828294838e-11,1.031351973747904e-06,0.001807133181279815,31.9993975920339,1
